identifier,Name,CRM Path,Description,used by
physical information carrier_135_creator,Creator,--> P108i --> E12[58_1]  --> P14 --> E39[135_1]<br><br> --> P108i --> E12[58_1]  --> P01 --> PC14[135_2] --> P02 --> E39[135_3],This field is used to record the creator of the documented physical object.,Swiss Art Research Infrastructure
physical information carrier_136_creator_role,Creator Role,--> P108i --> E12[58_1] --> P01 --> PC14[135_1] --> P14.1 --> E55[136_1],This field is used to record the role played by the creator in the production of the documented physical object.,Swiss Art Research Infrastructure
physical information carrier_137_current_owner,Current Owner,--> P52 --> E39[137_1],This field is used to record the present owner of the documented physical object.,Swiss Art Research Infrastructure
physical information carrier_138_current_holder,Current Holder,--> P50 --> E39[138_1],This field is used to indicate the current holder of the documented physical object.,Swiss Art Research Infrastructure
physical information carrier_251_creator_attributed_by,Creator Attributed By,--> P108i --> E12[58_1] --> P01i --> PC14[251_2] --> P141i --> E13[251_3] --> P14 --> E39[251_4],This field is used to indicate the actor who attributed the creator to the documented object.,Swiss Art Research Infrastructure
physical information carrier_252_attribution_date_earliest,Attribution Date Earliest,--> P108i --> E12[58_1] --> P01i --> PC14[251_2] --> P141i --> E13[251_3] --> P4 --> E52[252_1] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the attribution of the creator to the documented object.,Swiss Art Research Infrastructure
physical information carrier_253_attribution_date_latest,Attribution Date Latest,--> P108i --> E12[58_1] --> P01i --> PC14[251_2] --> P141i --> E13[251_3] --> P4 --> E52[252_1] --> P82b --> xsd:dateTime,This field is used to record the latest possible date for the attribution of the creator to the documented object.,Swiss Art Research Infrastructure
physical information carrier_254_creator_attribution_source,Creator Attribution Source,--> P108i --> E12[58_1] --> P01i --> PC14[251_2] --> P141i --> E13[251_3]-- >P16 --> E33[254_1],This field is used to indicate the source work used in the attribution of the creator to the documented object.,Swiss Art Research Infrastructure
