identifier,Name,Description,CRM Path,Description
physical information carrier_188_description,Description,This field is used to record a description in free text of the documented physical information carrier.,--> P129i --> E33[188_1] --> P190 --> rdfs:Literal,This field is used to record a description in free text of the documented object.
physical information carrier_189_description_language,Description Language,This field is used to record the language of the description of the documented physical information carrier.,--> P129i --> E33[188_1] --> P72 --> E56[189_1],This field is used to record the language of the description of the documented object.
physical information carrier_190_description_type,Description Type,This field is used to record the type of description given of the documented physical information carrier.,--> P129i --> E33[188_1] --> P2 --> E55[190_1],This field is used to record the type of description given of the documented object.
physical information carrier_191_description_author,Description Author,This field is used to record the author of the description given of the documented physical information carrier.,--> P129i --> E33[188_1] --> P94i --> E65[191_1]>-P14 --> E39[191_2],This field is used to record the author of the description given of the documented object.
physical information carrier_192_description_date_-_earliest,Description Date - Earliest,This field is used to record the earliest possible date for the creation of the description of the documented physical information carrier.,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P4 --> E52[191_2] --> P82a --> xsd:dateTime,This field is used to record the earliest possible date for the creation of the description of the documented object.
physical information carrier_193_description_date_-_latest,Description Date - Latest,This field is used to record the latest possible date for the creation of the description of the documented physical information carrier.,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P4 --> E52[191_2] --> P82b —> xsd:dateTime,This field is used to record the latest possible date for the creation of the description of the documented object.
physical information carrier_194_description_-_source,Description - Source,This field is used to record the source of the description of the documented physical information carrier.,--> P129i --> E33[188_1] --> P94i --> E65[191_1] --> P16 --> E73[194_1],This field is used to record the source of the description of the documented object.
