Name,identifier,Model Specific Name,Model Specific Description,CRM Path,used by,Total_Turtle
[MOD.1] Person_fie_195_Image,person_195_image,Image,This field is used to record a digital image which is representative of the documented person.,--> P138i --> E36/D9[195_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P138i_has_representation
<https://example.org/conceptual_object/fie_195_1> .
<https://example.org/conceptual_object/fie_195_1> a 
crm:E36_Visual_Item, crmdig:D9_Data_Object ."
[MOD.1] Person_fie_196_Citation,person_196_citation,Citation,This field is used to record a citation to reference documentation for the documented person.,"--> P129i --> E33[196_1] --> rdf:value --> rdfs:Literal<br><br>--> P129i --> E33[196_1] --> P2 --> E55 ""Citation"" ",Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_196_1> .
<https://example.org/conceptual_object/fie_196_1> a 
crm:E33_Linguistic_Object;
crm:P190_has_symbolic_content ""content""; 
crm:P2_has_type <https://example.org/type/fie_196_1> .
<https://example.org/type/fie_196_1> a crm:E55_Type ;
rdfs:label ""Citation"" ."
[MOD.1] Person_fie_197_Citation Source,person_197_citation_source,Citation Source,This field is used to record the source used for generating the citation for the documented person.,--> P129i --> E33[196_1] --> P106i --> E33[from BibliograPhy Entity Type][197_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_196_1> .
<https://example.org/conceptual_object/fie_196_1> a 
crm:E33_Linguistic_Object;
crm:P106i_forms_part_of <https://example.org/conceptual_object/fie_197_1> .
<https://example.org/conceptual_object/fie_197_1> a crm:E33_Linguistic_Object ."
[MOD.1] Person_fie_198_Biography,person_198_biography,Biography,This field is used to record a short biographical free text about the documented person.,"--> P67i --> E73[198_1] --> P190 --> rdfs:Literal<br><br> --> P67i --> E73[198_1] --> P2 --> E55 ""Biography""<br><br> --> P67i --> E73[198_1] --> P72 --> E56[198_2]",Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crm:P129i_is_subject_of
<https://example.org/conceptual_object/fie_198_1> .
<https://example.org/conceptual_object/fie_198_1> a 
crm:E73_Information_Object;
crm:P190_has_symbolic_content ""content"" ;
crm:P2_has_type <https://example.org/type/fie_198_1> ;
crm:P72_has_language <https://example.org/type/fie_198_2> .
<https://example.org/type/fie_198_1> a crm:E55_Type ;
crm:P190_has_symbolic_content ""Biography"" .
<https://example.org/type/fie_198_2> a crm:E56_Language ."
[MOD.1] Person_fie_204_Same As,person_204_same_as,Same As,"The field is used to record the sameness between the entity described and an external authority
",--> L54 --> E1[204_1],Swiss Art Research Infrastructure,"<https://example.org/actor/E21> a crm:E21_Person ;
crmdig:L54_is_same-as <https://example.org/entity/fie_204_1> .

<https://example.org/entity/fie_204_1> a crm:E1_CRM_Entity ."
