identifier,Name,Description,CRM Path,Description
archival unit_86_dimension_type,Dimension Type,This field is used to record the type of measurement that the dimension of the documented archival unit represents.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P2 --> E55[86_3],This field is used to record the type of measurement that the dimension of the documented object represents.
archival unit_87_dimension_value,Dimension Value,This field is used to record the value of the measured dimension of the documented archival unit.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P90 --> xsd:decimal,This field is used to record the value of the measured dimension of the documented object.
archival unit_88_dimension_unit,Dimension Unit,This field is used to record the unit of the measured dimension of the documented archival unit.,--> P39i --> E16[86_1] --> P40 --> E54[86_2] --> P91 --> E58[88_1],This field is used to record the unit of the measured dimension of the documented object.
archival unit_89_dimension_taker,Dimension Taker,This field is used to record the actor who undertook the measurement producing the dimension of the documented archival unit.,--> P39i --> E16[86_1] --> P14 --> E39[89_1],This field is used to record the actor who undertook the measurement producing the dimension of the documented object.
